Câu Hỏi,Đáp án 1,Đáp án 2,Đáp án 3,Đáp án 4
"Loại tơ nào thường dùng để dệt vải, may quần áo ấm hoặc bện thành sợi len đan áo rét?",Tơ nitron,Tơ capron,"Tơ nilon-6,6","Tơ lapsan
"
Công thức của metyl acrylat là gì?,CH3COOCH=CH2,HCOOCH3,CH2=CHCOOCH3,"CH3COOCH3
"
Kim loại nào sau đây là kim loại mềm nhất trong tất cả các kim loại?,Xesi,Natri,Liti,"Kali
"
Công thức tổng quát của este no đơn chức mạch hở có dạng nào sau đây?,Rb(COO)abR'a,CnH2nO2,RCOOR',"Không có đáp án đúng
"
Polime nào có thể tham gia phản ứng cộng với hiđro?,Poli(vinyl clorua),Cao su buna,Polipropen,"nilon-6,6.
"
Kim loại nào sau đây khi tác dụng với dung dịch HCl loãng và tác dụng với khí Cl2 cho cùng loại muối clorua kim loại?,Fe,Cu,Zn,"Ag
"
Ion Cu2+ bị khử thành Cu?,Có,Không,Không,"Không
"
Ion Ag+ bị oxi hóa thành Ag?,Không,Có,Không,"Không
"
Cu bị khử thành ion Cu2+?,Không,Không,Có,"Không
"
Ion Ag+ bị khử thành Ag?,Không,Không,Không,"Có
"
Để khử mùi tanh của cá trước khi nấu có thể dùng dung dịch nào sau đây?,Giấm ăn,Xút,Nước vôi,"Xôđa
"
Dung dịch etylamin tác dụng được với dung dịch nước của chất nào sau đây?,H2SO4,NaOH,NaCl,"NH3
"
Tác dụng xúc tác của các enzim như lipaza và dịch mật chất béo bị thủy phân thành gì?,CO2 và H2O,"NH3, CO2, H2O",axit béo và glixerol,"axit cacboxylic và glixerol
"
"Trong số các kim loại sau, cặp kim loại nào có nhiệt độ nóng chảy cao nhất và thấp nhất?","A. W, Hg.","B. Au, W.","C. Fe, Hg.","D. Cu, Hg.
"
Tính chất vật lý của kim loại nào dưới đây không đúng?,Tính cứng: Fe < Al < Cr.,Nhiệt độ nóng chảy: Hg < Al < W.,Khả năng dẫn điện: Ag > Cu > Al.,"Không có đáp án đúng
"
Tinh bột có phản ứng thủy phân không?,Sai,Đúng,Sai,"Sai
"
Sau phản ứng xảy ra hoàn toàn thu được chất rắn gồm?,"Cu, Al2O3, Mg","Cu, Al, MgO","Cu, Al2O3, MgO","Cu, Mg, Al
"
Số đồng phân amin có công thức phân tử C4H11N là?,5.,8.,7.,"6.
"
Tính chất vật lý chung của kim loại là gì?,"Tính dẻo, có ánh kim và rất cứng","Tính dẻo, tính dẫn điện, nhiệt độ nóng chảy cao","Tính dẫn điện, dẫn nhiệt, có ánh kim, có khối lượng riêng lớn","Tính dẻo, tính dẫn điện, dẫn nhiệt và có ánh kim
"
Bạn có thể rửa lớp Fe để loại tạp chất bằng dung dịch nào?,Dung dịch ZnSO4 dư.,Dung dịch CuSO4 dư.,Dung dịch FeSO4 dư.,"Dung dịch FeCl3
"
"So sánh độ dẫn điện của hai dây dẫn bằng đồng tinh khiết, có khối lượng bằng nhau, dây thứ nhất chỉ có một sợi, dây thứ hai gồm một bó hàng trăm sợi nhỏ?",Không so sánh được,Dây thứ hai dẫn điện tốt hơn,Dây thứ nhất dẫn điện tốt hơn,"Bằng nhau
"
"Khi phản ứng kết thúc, tình trạng của các chất là gì?","CuSO4 hết, FeSO4 chưa phản ứng, Mg hết.","CuSO4 hết, FeSO4 hết, Mg hết.","CuSO4 dư, FeSO4 chưa phản ứng, Mg hết.","CuSO4 hết, FeSO4 đã phản ứng và còn dư, Mg hết.
"
"Gly, Val, Ala làm đổi màu quỳ tím không?",Có,Không,Không,"Không
"
Thứ tự tính khử tăng dần của các kim loại là gì?,"Pb, Sn, Ni, Zn.","Ni, Sn, Zn, Pb.","Ni, Zn, Pb, Sn.","Pb, Ni, Sn, Zn.
"
"Để nhận biết sự có mặt của đường glucozơ trong nước tiểu, người ta có thể dùng thuốc thử nào trong các thuốc thử sau đây?",Nước vôi trong,Giấm,Giấy đo H,"Dung dịch AgNO3/NH3
"
